Número de registro,Tipo de registro,Razón social,NIF,NIMA,Tipo de vía,Nombre de la vía,Código de vía,Tipo de número,Número,Escalera,Piso,Puerta,Polígono industrial,Provincia,Código de provincia,Municipio,Código de municipio,Código postal,Teléfono,Fax,Alcance de la gestión,Alcance de la gestión normalizado,Residuos de Construcción y Demolición,Número de proceso,Descripción del proceso,Proceso de tratamiento normalizado,Código LER de residuo,Descripción del residuo,Tipo de residuo normalizado
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030301,Residuos de corteza y madera,ResiduosDeCortezaYMadera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200307,Residuos voluminosos,ResiduosVoluminosos
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200138,Madera distinta de la especificada en el código 200137,MaderaDistintaDeLaEspecificadaEnElCodigo200137
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,150103,Envases de madera,EnvasesDeMadera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030101,Residuos de corteza y corcho,ResiduosDeCortezaYCorcho
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,150103,Envases de madera,EnvasesDeMadera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,030301,Residuos de corteza y madera,ResiduosDeCortezaYMadera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,030199,Residuos no especificados en otra categoría,ResiduosNoEspecificadosEnOtraCategoria
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,170401,"Cobre, bronce y latón",CobreBronceYLaton
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,020107,Residuos de la silvicultura,ResiduosDeLaSilvicultura
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200102,Vidrio,Vidrio
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,170402,Aluminio,Aluminio
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,200201,Residuos biodegradables,ResiduosBiodegradables
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030199,Residuos no especificados en otra categoría,ResiduosNoEspecificadosEnOtraCategoria
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,170201,Madera,Madera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,030105,"Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 030104",SerrinVirutasRecortesMaderaTablerosDeParticulasYChapasDistintosDeLosMencionadosEnElCodigo030104
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,160119,Plástico,Plastico
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200140,Metales,Metales
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030105,"Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 030104",SerrinVirutasRecortesMaderaTablerosDeParticulasYChapasDistintosDeLosMencionadosEnElCodigo030104
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,030101,Residuos de corteza y corcho,ResiduosDeCortezaYCorcho
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,170201,Madera,Madera
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,020107,Residuos de la silvicultura,ResiduosDeLaSilvicultura
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200201,Residuos biodegradables,ResiduosBiodegradables
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200139,Plásticos,Plasticos
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200101,Papel y cartón,PapelYCarton
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,191207,Madera distinta de la especificada en el código 191206,MaderaDistintaDeLaEspecificadaEnElCodigo191206
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,200140,Metales,Metales
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,200138,Madera distinta de la especificada en el código 200137,MaderaDistintaDeLaEspecificadaEnElCodigo200137
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030199,Residuos no especificados en otra categoría,ResiduosNoEspecificadosEnOtraCategoria
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030101,Residuos de corteza y corcho,ResiduosDeCortezaYCorcho
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,020107,Residuos de la silvicultura,ResiduosDeLaSilvicultura
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,200307,Residuos voluminosos,ResiduosVoluminosos
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,200138,Madera distinta de la especificada en el código 200137,MaderaDistintaDeLaEspecificadaEnElCodigo200137
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,191207,Madera distinta de la especificada en el código 191206,MaderaDistintaDeLaEspecificadaEnElCodigo191206
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,160119,Plástico,Plastico
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,191207,Madera distinta de la especificada en el código 191206,MaderaDistintaDeLaEspecificadaEnElCodigo191206
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,150103,Envases de madera,EnvasesDeMadera
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,170401,"Cobre, bronce y latón",CobreBronceYLaton
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,170402,Aluminio,Aluminio
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,200307,Residuos voluminosos,ResiduosVoluminosos
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,170201,Madera,Madera
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,030105,"Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 030104",SerrinVirutasRecortesMaderaTablerosDeParticulasYChapasDistintosDeLosMencionadosEnElCodigo030104
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,200301,Mezclas de residuos municipales,MezclasDeResiduosMunicipales
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,030105,"Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 030104",SerrinVirutasRecortesMaderaTablerosDeParticulasYChapasDistintosDeLosMencionadosEnElCodigo030104
13G04A1400037917H,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800072158,Carretera,Antigua Nacional III,,P,32,,,,"14, parcela 45",Madrid,28,Arganda del Rey,014,28500,916424082,916423167,Clasificación manual de residuos no peligrosos y trituración de madera,ClasificacionManualDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación manual de residuos no peligrosos,ClasificacionManualDeResiduosNoPeligrosos,020107,Residuos de la silvicultura,ResiduosDeLaSilvicultura
